Gene,Temp37_effect_size,Temp37_fdr
orf19.2615,3.880968303,1.28E-05
orf19.2277,3.395924638,9.06E-07
orf19.1030,3.267029724,0.000351451
orf19.791,2.662763544,0.000281768
orf19.7295,2.628244045,3.39E-05
orf19.1168,2.583326004,3.37E-06
orf19.1093,2.38784348,0.000127261
orf19.7372,2.355562981,1.87E-05
orf19.391,2.330542282,4.01E-06
orf19.5954,2.275814073,8.58E-06
orf19.3345,2.218974602,0.000949876
orf19.3380,2.218970382,3.21E-05
orf19.3794,2.199281525,6.48E-05
orf19.6796,2.064546258,0.000360848
orf19.7386,2.004332597,0.026274409
orf19.1054,1.921169208,0.000133735
orf19.7374,1.914710382,0.000180555
orf19.7521,1.842530344,0.000325938
orf19.1514,1.806135902,0.001150648
orf19.3459,1.777764623,1.18E-05
orf19.5001,1.765971721,0.00036729
orf19.4568,1.658659198,7.10E-05
orf19.4979,1.590713535,0.000251376
orf19.3845,1.545082666,0.001304517
orf19.3631,1.543601715,0.024982586
orf19.3419,1.528754738,0.000217991
orf19.200,1.524498951,0.008059696
orf19.6028,1.506194355,0.001764542
orf19.5380,1.501384948,0.005425953
orf19.5175,1.494311574,0.001269633
orf19.3035,1.472024639,0.000199255
orf19.2222,1.467030203,0.001062847
orf19.6734,1.464423085,0.001675034
orf19.4000,1.453084988,7.23E-05
orf19.5495,1.448476458,1.70E-05
orf19.4752,1.415221159,0.000188077
orf19.5599,1.381881942,0.001237127
orf19.868,1.379869618,5.88E-05
orf19.2823,1.377156743,0.002406716
orf19.3417,1.334959077,0.005826985
orf19.2545,1.293304655,0.000811928
orf19.6514,1.291758352,0.000359006
orf19.4575,1.272322556,0.002100193
orf19.6668,1.272270231,0.000426719
orf19.3659,1.221910608,0.001438182
orf19.2282,1.208950049,0.00440732
orf19.1036,1.200459229,0.011053526
orf19.6667,1.196883913,0.001000623
orf19.7149,1.19364953,0.002336698
orf19.3291,1.184830496,0.001079299
orf19.4072,1.175478197,8.38E-05
orf19.2541,1.161434316,0.07181394
orf19.4438,1.154414667,0.000696376
orf19.301,1.147354983,0.00651777
orf19.1757,1.145721376,0.007316194
orf19.5635,1.140888706,0.004438886
orf19.6882,1.138676858,0.002548066
orf19.339,1.135799011,0.022235963
orf19.7468,1.131514429,0.005940565
orf19.2094,1.115509127,0.054330456
orf19.3876,1.106880447,0.005440841
orf19.1543,1.076139737,0.011076755
orf19.6980,1.062413179,0.01499154
orf19.2752,1.04894567,0.005940565
orf19.5568,1.048120626,0.017481772
orf19.1481,1.027791098,0.007905847
orf19.2068,1.024820352,0.01347526
orf19.7109,1.019585465,0.11662309
orf19.991,1.007800236,0.039883877
orf19.5617,0.996099805,0.072129902
orf19.3586,0.987140585,0.015790132
orf19.7404,0.983109479,0.021146235
orf19.4787,0.981867229,0.020853982
orf19.3230,0.97753519,0.045426041
orf19.497,0.975880546,0.012808826
orf19.5357,0.974578091,0.016917365
orf19.2670,0.972582408,0.010679969
orf19.5251,0.969982161,0.069760634
orf19.6091,0.966725057,0.001859935
orf19.2822,0.959457366,0.012282543
orf19.6232,0.958668635,0.024255037
orf19.2432,0.954587917,0.038411641
orf19.2158,0.953700816,0.016223422
orf19.1035,0.952216523,0.004938563
